"STATUS","INCOME","PS_LAPSE1","SECTOR","PAYMENT_MODE","PAYER_GENDER","INSURED_GENDER","PRODUCT_GROUP","PAYER_AGE_GROUP","PREMIUM","TERM","PAYER_MARITAL_STATUS","INSURED_MARITAL_STATUS","COMPANY_NAME","OCCUPATION_DESC1","PAYPOINT_NAME"
"LAP",1000,78.6043713655504,"SERVICES/SALES/CONSULTING","ADD","FEMALE","FEMALE","FUNERAL","18-25",132,99,"S","S","COMP19","Otherwise","PAYPOINT202"
"ACT",1000,77.7777777777778,"PROFESSIONAL/ENGINEERING/TECHNICAL","ADD","MALE","MALE","RISK","18-25",125,11,"S","S","COMP19","SKILLED SEMI SKILLED","PAYPOINT202"
"ACT",4705,78.6043713655504,"HEALTHCARE/NURSING/SOCIAL CARE","RSO","FEMALE","FEMALE","RISK","26-35",170.89,14,"S","S","Otherwise","MINOR","PAYPOINT224"
"ACT",2311,78.6043713655504,"PROFESSIONAL/ENGINEERING/TECHNICAL","DSO","FEMALE","FEMALE","FUNERAL","26-35",258.7,99,"M","M","COMP95","SKILLED SEMI SKILLED","Otherwise"
"ACT",7984,78.6043713655504,"PROFESSIONAL/ENGINEERING/TECHNICAL","RSO","MALE","MALE","RISK","26-35",220.5,14,"S","S","COMP34","TEACHER","PAYPOINT224"
"ACT",6421,78.6043713655504,"PUBLIC/GOVERNMENT/ADMINISTRATION","RSO","FEMALE","FEMALE","FUNERAL","26-35",337.37,99,"S","S","COMP19","Otherwise","PAYPOINT224"
"ACT",1832,94.1176470588235,"PUBLIC/GOVERNMENT/ADMINISTRATION","DSO","FEMALE","FEMALE","RISK","26-35",106,25,"S","S","COMP19","Otherwise","Otherwise"
"ACT",2500,78.6043713655504,"PUBLIC/GOVERNMENT/ADMINISTRATION","ADD","FEMALE","FEMALE","FUNERAL","26-35",140,99,"S","S","COMP19","SECRETARY","PAYPOINT202"
"ACT",14534,78.6043713655504,"PROFESSIONAL/ENGINEERING/TECHNICAL","RSO","FEMALE","FEMALE","RISK","36-45",150,25,"M","M","Otherwise","Otherwise","PAYPOINT224"
"SUR",10740,87.2340425531915,"CORPORATE/FINANCE/ADMINISTRATION","DSO","MALE","MALE","RISK","26-35",202,13,"S","S","COMP19","Otherwise","Otherwise"
"ACT",10685,78.6043713655504,"HEALTHCARE/NURSING/SOCIAL CARE","RSO","MALE","FEMALE","RISK","26-35",336.26,17,"S","S","Otherwise","MINOR","PAYPOINT224"
"ACT",5832,78.6043713655504,"CORPORATE/FINANCE/ADMINISTRATION","ADD","MALE","MALE","RISK","26-35",505,20,"M","M","COMP19","MANAGER","PAYPOINT21"
"CAN",3128,78.6043713655504,"LABOUR/GENERAL/MANUAL","DSO","MALE","MALE","FUNERAL","26-35",158,99,"S","S","COMP19","Otherwise","Otherwise"
"ACT",4511,78.6043713655504,"PROFESSIONAL/ENGINEERING/TECHNICAL","RSO","MALE","MALE","FUNERAL","18-25",139.79,99,"S","S","COMP71","TEACHER","PAYPOINT224"
"LAP",11208,78.6043713655504,"PROFESSIONAL/ENGINEERING/TECHNICAL","DSO","MALE","MALE","UNKNOWN","26-35",183.8,25,"M","M","Otherwise","Otherwise","PAYPOINT76"
"ACT",1000,84.6153846153846,"TRANSPORT/DRIVING/OPERATIONS","ADD","FEMALE","FEMALE","FUNERAL","26-35",165.9,99,"S","S","COMP19","DRIVER OTHER THAN CHAUFFEUR","PAYPOINT202"
"ACT",1100,78.6043713655504,"PROFESSIONAL/ENGINEERING/TECHNICAL","DSO","MALE","MALE","FUNERAL","18-25",137.55,99,"S","S","COMP19","SKILLED SEMI SKILLED","Otherwise"
"ACT",6171,78.6043713655504,"HEALTHCARE/MEDICAL/SCIENTIFIC","ADD","FEMALE","FEMALE","FUNERAL","18-25",117.52,99,"S","S","COMP87","Otherwise","PAYPOINT202"
"LAP",1050,78.6043713655504,"HOSPITALITY/FOOD/ACCOMMODATION","ADD","MALE","MALE","FUNERAL","36-45",197,99,"S","S","COMP19","Otherwise","PAYPOINT202"
"ACT",1523,78.6043713655504,"HOSPITALITY/FOOD/ACCOMMODATION","DSO","FEMALE","FEMALE","INVEST","26-35",100,12,"M","M","COMP121","COOK  CATERING","Otherwise"
"ACT",2200,78.6043713655504,"PUBLIC/GOVERNMENT/ADMINISTRATION","ADD","FEMALE","FEMALE","FUNERAL","18-25",112.08,99,"S","S","Otherwise","SECRETARY","PAYPOINT202"
"ACT",4976,78.6043713655504,"PROFESSIONAL/ENGINEERING/TECHNICAL","RSO","MALE","MALE","RISK","26-35",305,10,"S","S","Otherwise","TEACHER","PAYPOINT224"
"ACT",5728,78.6043713655504,"PUBLIC/GOVERNMENT/ADMINISTRATION","DSO","FEMALE","FEMALE","FUNERAL","36-45",237.03,26,"S","S","Otherwise","SECRETARY","Otherwise"
"ACT",5000,78.6043713655504,"PUBLIC/SECURITY/COMPLIANCE","DSO","FEMALE","FEMALE","FUNERAL","26-35",130.07,99,"S","S","COMP19","Otherwise","Otherwise"
"LAP",1120.5,78.6043713655504,"LABOUR/GENERAL/MANUAL","DSO","MALE","MALE","FUNERAL","18-25",135.61,99,"S","S","COMP95","Otherwise","Otherwise"
"ACT",7096,78.6043713655504,"PROFESSIONAL/ENGINEERING/TECHNICAL","RSO","MALE","MALE","INVEST","46-55",205,16,"M","M","COMP19","TEACHER","PAYPOINT224"
"ACT",5610,78.6043713655504,"PROFESSIONAL/ENGINEERING/TECHNICAL","RSO","FEMALE","FEMALE","FUNERAL","26-35",129.96,99,"S","S","COMP19","TEACHER","PAYPOINT224"
"ACT",20000,84.2105263157895,"CORPORATE/FINANCE/ADMINISTRATION","DSO","FEMALE","FEMALE","RISK","36-45",150,25,"S","S","Otherwise","Otherwise","Otherwise"
"ACT",9086,82.8571428571429,"HEALTHCARE/NURSING/SOCIAL CARE","DSO","FEMALE","MALE","RISK","36-45",200,10,"M","S","COMP19","MINOR","Otherwise"
"LAP",4040,78.6043713655504,"UTILITIES/WATER/ENVIRONMENT","DSO","MALE","MALE","FUNERAL","18-25",266,99,"S","S","COMP95","Otherwise","Otherwise"
"CAN",8624,83.0508474576271,"PUBLIC/SECURITY/COMPLIANCE","RSO","MALE","FEMALE","RISK","36-45",110,25,"S","UNKNOWN","COMP19","POLICE OFFICER","PAYPOINT224"
"ACT",18147,78.6043713655504,"CORPORATE/FINANCE/ADMINISTRATION","ADD","MALE","MALE","FUNERAL","36-45",279.3,99,"M","M","Otherwise","PROFESSIONAL CLERICAL","PAYPOINT21"
"CAN",1836,78.6043713655504,"PUBLIC/GOVERNMENT/ADMINISTRATION","DSO","FEMALE","FEMALE","INVEST","26-35",100,26,"S","S","COMP34","SECRETARY","Otherwise"
"ACT",1650,78.6043713655504,"HEALTHCARE/NURSING/SOCIAL CARE","DSO","FEMALE","FEMALE","FUNERAL","46-55",91.35,99,"S","S","COMP19","MINOR","Otherwise"
"LAP",12284,78.6043713655504,"PROFESSIONAL/ENGINEERING/TECHNICAL","RSO","MALE","MALE","FUNERAL","36-45",109,99,"D","D","Otherwise","Otherwise","PAYPOINT224"
"CAN",1731,78.6043713655504,"HOSPITALITY/FOOD/ACCOMMODATION","RSO","FEMALE","FEMALE","FUNERAL","36-45",105,99,"M","M","COMP74","COOK  CATERING","PAYPOINT223"
"ACT",2570,78.6043713655504,"SERVICES/RETAIL/SMALL BUSINESS","RSO","MALE","MALE","FUNERAL","18-25",194.04,99,"S","S","COMP19","Otherwise","PAYPOINT224"
"CAN",8139,78.6043713655504,"PROFESSIONAL/ENGINEERING/TECHNICAL","RSO","MALE","MALE","RISK","26-35",118,25,"S","S","COMP19","TECHNICIAN","PAYPOINT224"
"ACT",10270,78.6043713655504,"HEALTHCARE/MEDICAL/SCIENTIFIC","RSO","FEMALE","FEMALE","FUNERAL","36-45",177,99,"S","S","COMP19","Otherwise","PAYPOINT224"
"LAP",12530,78.6043713655504,"PROFESSIONAL/ENGINEERING/TECHNICAL","RSO","FEMALE","FEMALE","FUNERAL","26-35",269,99,"M","M","COMP34","TEACHER","Otherwise"
"LAP",3647,78.6043713655504,"LABOUR/GENERAL/MANUAL","ADD","MALE","MALE","FUNERAL","36-45",99,99,"M","M","COMP95","LABOURER","PAYPOINT202"
"ACT",2473,78.6043713655504,"SERVICES/SANITATION/PROCESSING","DSO","MALE","MALE","FUNERAL","26-35",149.93,99,"S","S","COMP19","Otherwise","Otherwise"
"ACT",2184,78.6043713655504,"TRANSPORT/DRIVING/OPERATIONS","RSO","FEMALE","FEMALE","INVEST","26-35",127.05,19,"M","M","COMP19","DRIVER OTHER THAN CHAUFFEUR","PAYPOINT223"
"ACT",1004,80.7017543859649,"INFORMATION/COMMUNICATION/TECHNOLOGY","RSO","FEMALE","FEMALE","INVEST","36-45",85,25,"S","S","Otherwise","Otherwise","PAYPOINT223"
"ACT",7422,78.6043713655504,"PUBLIC/GOVERNMENT/ADMINISTRATION","RSO","MALE","MALE","FUNERAL","36-45",117,99,"M","M","COMP19","ARMED FORCE SOLDIER","PAYPOINT224"
"LAP",1500,78.6043713655504,"CORPORATE/FINANCE/ADMINISTRATION","ADD","FEMALE","FEMALE","RISK","18-25",100,25,"S","S","COMP121","CLERK","PAYPOINT202"
"ACT",13872,81.3206896551724,"SERVICES/SALES/CONSULTING","DSO","MALE","MALE","INVEST","26-35",694.58,25,"S","S","COMP19","Otherwise","Otherwise"
"CAN",11115,93.3962264150943,"PROFESSIONAL/ENGINEERING/TECHNICAL","RSO","FEMALE","FEMALE","RISK","36-45",165,20,"M","M","COMP102","TEACHER","PAYPOINT224"
"LAP",2415,78.6043713655504,"PUBLIC/SECURITY/COMPLIANCE","DSO","MALE","MALE","RISK","26-35",280,25,"S","S","COMP95","SECURITY OFFICER  WATCHMAN","PAYPOINT76"
"ACT",1208,78.6043713655504,"PUBLIC/GOVERNMENT/ADMINISTRATION","DSO","FEMALE","FEMALE","FUNERAL","18-25",140.4,99,"S","S","Otherwise","GENERAL DUTY ASSISTANT","Otherwise"
"ACT",2484,78.6043713655504,"PUBLIC/CUSTOMS/TRANSPORT/LOGISTICS","RSO","MALE","MALE","FUNERAL","26-35",108.04,99,"S","S","COMP121","Otherwise","PAYPOINT224"
"ACT",7652,78.6043713655504,"PROFESSIONAL/ENGINEERING/TECHNICAL","RSO","FEMALE","FEMALE","INVEST","26-35",105,29,"S","S","Otherwise","TEACHER","PAYPOINT224"
"ACT",5100,78.6043713655504,"SERVICES/RETAIL/SMALL BUSINESS","ADD","MALE","MALE","FUNERAL","26-35",217.58,99,"S","S","COMP19","Otherwise","PAYPOINT202"
"ACT",2040,78.6043713655504,"PUBLIC/SECURITY/COMPLIANCE","RSO","MALE","MALE","FUNERAL","46-55",231,99,"S","S","COMP19","SECURITY OFFICER  WATCHMAN","PAYPOINT223"
"LAP",4698,77.5510204081633,"PUBLIC/SECURITY/COMPLIANCE","DSO","MALE","MALE","RISK","36-45",150,5,"S","S","COMP19","Otherwise","Otherwise"
"ACT",1374,78.6043713655504,"PROFESSIONAL/ENGINEERING/TECHNICAL","RSO","MALE","MALE","FUNERAL","26-35",85,99,"S","S","COMP19","SKILLED SEMI SKILLED","PAYPOINT223"
"ACT",11128,88.2727090435131,"PUBLIC/SECURITY/COMPLIANCE","RSO","MALE","MALE","RISK","36-45",310,27,"M","M","COMP102","POLICE OFFICER","PAYPOINT224"
"LAP",3377,78.6043713655504,"TRANSPORT/DRIVING/OPERATIONS","DSO","MALE","MALE","RISK","18-25",150,25,"S","S","COMP19","Otherwise","Otherwise"
"ACT",1010,78.6043713655504,"SERVICES/SANITATION/PROCESSING","ADD","MALE","MALE","FUNERAL","26-35",87,99,"S","S","Otherwise","CLEANER","PAYPOINT202"
"ACT",1585,78.6043713655504,"SERVICES/SANITATION/PROCESSING","RSO","FEMALE","FEMALE","FUNERAL","18-25",191.84,99,"S","S","COMP19","CLEANER","PAYPOINT223"
"ACT",3925,78.6043713655504,"INDUSTRIAL/MECHANICAL/METALWORK","RSO","MALE","MALE","FUNERAL","26-35",175.3,99,"S","S","COMP121","Otherwise","PAYPOINT223"
"ACT",7415,78.6043713655504,"SERVICES/SALES/CONSULTING","ADD","MALE","MALE","FUNERAL","36-45",195.3,99,"M","M","COMP19","Otherwise","PAYPOINT21"
"CAN",4995,96.1538461538462,"PROFESSIONAL/ENGINEERING/TECHNICAL","RSO","FEMALE","FEMALE","RISK","36-45",172,24,"S","S","Otherwise","TEACHER","PAYPOINT224"
"ACT",6819,78.6043713655504,"PROFESSIONAL/ENGINEERING/TECHNICAL","RSO","MALE","MALE","FUNERAL","26-35",114.66,99,"S","S","Otherwise","TEACHER","PAYPOINT224"
"LAP",8000,78.6043713655504,"PROFESSIONAL/ENGINEERING/TECHNICAL","DSO","FEMALE","FEMALE","FUNERAL","36-45",208.58,99,"S","S","Otherwise","Otherwise","Otherwise"
"LAP",1738,78.6043713655504,"HOSPITALITY/FOOD/ACCOMMODATION","RSO","FEMALE","FEMALE","FUNERAL","26-35",105.35,99,"S","S","COMP95","COOK  CATERING","Otherwise"
"ACT",8202,78.6043713655504,"CORPORATE/FINANCE/ADMINISTRATION","ADD","FEMALE","FEMALE","FUNERAL","26-35",189.63,99,"S","S","COMP19","Otherwise","PAYPOINT381"
"ACT",2000,78.6043713655504,"PUBLIC/GOVERNMENT/ADMINISTRATION","ADD","FEMALE","FEMALE","FUNERAL","26-35",118,99,"S","S","Otherwise","Otherwise","PAYPOINT202"
"ACT",9000,78.6043713655504,"HEALTHCARE/NURSING/SOCIAL CARE","ADD","FEMALE","FEMALE","RISK","26-35",175.845,12,"S","S","COMP19","Otherwise","PAYPOINT202"
"CAN",1200,78.6043713655504,"INFORMATION/COMMUNICATION/TECHNOLOGY","ADD","MALE","MALE","FUNERAL","18-25",150,25,"S","S","COMP19","OPERATOR OTHER THAN COMPUTER","PAYPOINT202"
"LAP",1267,78.6043713655504,"PUBLIC/SECURITY/COMPLIANCE","ADD","MALE","MALE","RISK","36-45",166,25,"S","S","Otherwise","SECURITY OFFICER  WATCHMAN","PAYPOINT202"
"ACT",3848,78.6043713655504,"HEALTHCARE/MEDICAL/SCIENTIFIC","RSO","FEMALE","FEMALE","RISK","18-25",170.89,14,"S","S","COMP19","Otherwise","PAYPOINT224"
"CAN",2840,88.2727090435131,"CORPORATE/FINANCE/ADMINISTRATION","ADD","FEMALE","FEMALE","RISK","18-25",267.75,25,"S","S","COMP19","Otherwise","PAYPOINT21"
"ACT",2392,78.6043713655504,"PUBLIC/GOVERNMENT/ADMINISTRATION","DSO","FEMALE","FEMALE","RISK","26-35",110,99,"M","M","COMP19","GENERAL DUTY ASSISTANT","Otherwise"
"ACT",3354,78.6043713655504,"PROFESSIONAL/ENGINEERING/TECHNICAL","RSO","FEMALE","FEMALE","RISK","26-35",100,15,"S","S","COMP19","SKILLED SEMI SKILLED","PAYPOINT224"
"ACT",1696,78.6043713655504,"SERVICES/RETAIL/SMALL BUSINESS","DSO","MALE","MALE","FUNERAL","18-25",131.98,99,"S","S","COMP19","Otherwise","Otherwise"
"ACT",4311,78.6043713655504,"PUBLIC/SECURITY/COMPLIANCE","RSO","MALE","MALE","RISK","18-25",155,10,"S","S","COMP121","POLICE OFFICER","PAYPOINT224"
"LAP",4041,78.6043713655504,"PUBLIC/GOVERNMENT/ADMINISTRATION","ADD","MALE","MALE","FUNERAL","36-45",269.01,99,"S","S","Otherwise","ADMINISTRATION OFFICER  MANAGER  ASSISTANT","PAYPOINT202"
"ACT",7501,78.6043713655504,"PROFESSIONAL/ECONOMICS/PLANNING","RSO","FEMALE","FEMALE","FUNERAL","26-35",243,99,"S","S","COMP19","Otherwise","PAYPOINT224"
"LAP",1000,75.8620689655172,"LABOUR/GENERAL/MANUAL","ADD","FEMALE","FEMALE","FUNERAL","26-35",116,99,"S","S","COMP19","Otherwise","PAYPOINT202"
"LAP",5898,78.6043713655504,"INDUSTRIAL/MECHANICAL/METALWORK","ADD","MALE","MALE","RISK","26-35",150,25,"S","S","COMP19","Otherwise","PAYPOINT202"
"CAN",6548,78.6043713655504,"HEALTHCARE/NURSING/SOCIAL CARE","RSO","MALE","MALE","RISK","26-35",255,10,"M","M","COMP19","NURSING MATRONS OR SISTERS AND QUALIFIED NURSE","PAYPOINT224"
"ACT",3183,78.6043713655504,"PUBLIC/GOVERNMENT/ADMINISTRATION","RSO","MALE","MALE","FUNERAL","26-35",203.01,99,"S","S","COMP19","Otherwise","PAYPOINT224"
"CAN",2488,78.6043713655504,"HOSPITALITY/FOOD/ACCOMMODATION","RSO","FEMALE","FEMALE","FUNERAL","26-35",205,99,"S","S","COMP34","COOK  CATERING","PAYPOINT223"
"ACT",7832,84.2105263157895,"HEALTHCARE/NURSING/SOCIAL CARE","ADD","MALE","MALE","RISK","36-45",196.765,16,"S","S","Otherwise","MINOR","PAYPOINT202"
"LAP",1068,78.6043713655504,"PROFESSIONAL/ECONOMICS/PLANNING","ADD","MALE","MALE","FUNERAL","26-35",132,99,"S","S","COMP74","Otherwise","PAYPOINT378"
"ACT",4523,78.6043713655504,"PROFESSIONAL/ENGINEERING/TECHNICAL","RSO","MALE","MALE","FUNERAL","26-35",165,99,"S","S","COMP19","TEACHER","PAYPOINT224"
"SUR",8574,78.6043713655504,"INFORMATION/COMMUNICATION/TECHNOLOGY","ADD","MALE","FEMALE","RISK","26-35",100,5,"M","S","COMP95","SCHOLAR OR STUDENT","PAYPOINT202"
"ACT",4500,78.6043713655504,"CORPORATE/FINANCE/ADMINISTRATION","ADD","FEMALE","FEMALE","FUNERAL","36-45",279,99,"M","M","COMP19","PROFESSIONAL CLERICAL","PAYPOINT21"
"LAP",2422,78.6043713655504,"PUBLIC/CUSTOMS/TRANSPORT/LOGISTICS","DSO","MALE","MALE","INVEST","26-35",105,18,"M","M","COMP19","Otherwise","Otherwise"
"ACT",1800,87.2340425531915,"PUBLIC/GOVERNMENT/ADMINISTRATION","ADD","MALE","MALE","INVEST","36-45",150,29,"M","M","COMP19","Otherwise","PAYPOINT202"
"ACT",4461,78.6043713655504,"SERVICES/SALES/CONSULTING","ADD","MALE","MALE","INVEST","26-35",155,26,"S","S","COMP19","Otherwise","PAYPOINT202"
"ACT",11269,95.4545454545454,"INDUSTRIAL/MECHANICAL/METALWORK","DSO","MALE","MALE","RISK","26-35",150,11,"S","S","COMP19","Otherwise","PAYPOINT24"
"LAP",6572,93.3962264150943,"PUBLIC/SECURITY/COMPLIANCE","DSO","MALE","MALE","RISK","26-35",301,12,"M","M","COMP102","POLICE OFFICER","PAYPOINT76"
"LAP",2522,78.6043713655504,"INDUSTRIAL/MECHANICAL/METALWORK","ADD","MALE","MALE","RISK","26-35",100,20,"S","S","COMP19","Otherwise","PAYPOINT202"
"CAN",1751,78.6043713655504,"HOSPITALITY/FOOD/ACCOMMODATION","DSO","FEMALE","FEMALE","FUNERAL","36-45",279.3,99,"M","M","COMP70","COOK  CATERING","Otherwise"
"SUR",4782,78.6043713655504,"HEALTHCARE/NURSING/SOCIAL CARE","DSO","FEMALE","FEMALE","RISK","18-25",308.55,15,"S","S","COMP19","Otherwise","Otherwise"
"ACT",5386,78.6043713655504,"PUBLIC/CUSTOMS/TRANSPORT/LOGISTICS","RSO","MALE","MALE","FUNERAL","36-45",393,99,"S","S","COMP19","Otherwise","PAYPOINT224"
"ACT",4802,79.6875,"PROFESSIONAL/ENGINEERING/TECHNICAL","RSO","FEMALE","FEMALE","RISK","18-25",260,25,"S","S","COMP35","TEACHER","PAYPOINT224"
"ACT",1500,78.6043713655504,"PROFESSIONAL/ENGINEERING/TECHNICAL","ADD","MALE","MALE","FUNERAL","26-35",133.35,99,"S","S","COMP19","SKILLED SEMI SKILLED","PAYPOINT21"
"ACT",7493,78.6043713655504,"PROFESSIONAL/ENGINEERING/TECHNICAL","RSO","FEMALE","FEMALE","FUNERAL","36-45",226.02,99,"M","M","COMP19","TEACHER","PAYPOINT224"
"ACT",5300,84.9056603773585,"INFORMATION/COMMUNICATION/TECHNOLOGY","ADD","FEMALE","MALE","RISK","36-45",155,20,"M","S","Otherwise","SCHOLAR OR STUDENT","PAYPOINT381"
"ACT",822,75,"LABOUR/GENERAL/MANUAL","RSO","MALE","MALE","RISK","18-25",80,25,"S","S","COMP19","Otherwise","PAYPOINT223"
"ACT",8300,78.6043713655504,"CORPORATE/FINANCE/ADMINISTRATION","ADD","FEMALE","FEMALE","INVEST","26-35",150.075,20,"M","M","COMP19","Otherwise","PAYPOINT21"
"ACT",2794,78.6043713655504,"PROFESSIONAL/ENGINEERING/TECHNICAL","DSO","FEMALE","FEMALE","INVEST","26-35",100,24,"S","S","COMP156","SKILLED SEMI SKILLED","Otherwise"
"ACT",9654,78.6043713655504,"PUBLIC/GOVERNMENT/ADMINISTRATION","DSO","FEMALE","FEMALE","FUNERAL","26-35",183.75,99,"S","S","COMP19","Otherwise","Otherwise"
"ACT",4062,78.6043713655504,"PROFESSIONAL/ENGINEERING/TECHNICAL","DSO","MALE","MALE","FUNERAL","26-35",165,99,"M","M","Otherwise","TECHNICIAN","Otherwise"
"LAP",1378,78.6043713655504,"SERVICES/RETAIL/SMALL BUSINESS","ADD","FEMALE","FEMALE","RISK","26-35",114,25,"S","S","COMP52","Otherwise","PAYPOINT202"
"CAN",5581,78.6043713655504,"PUBLIC/GOVERNMENT/ADMINISTRATION","DSO","FEMALE","FEMALE","FUNERAL","18-25",149,99,"S","S","Otherwise","GENERAL DUTY ASSISTANT","Otherwise"
"CAN",3360,78.6043713655504,"PUBLIC/SECURITY/COMPLIANCE","RSO","MALE","MALE","RISK","26-35",100,5,"S","S","COMP121","POLICE OFFICER","PAYPOINT224"
